,data,target
151,haghia sophia ubah jd mesjid kmbali protes skrng palestina hapus dr google maps dignti jd israel diem ironis nya bnyak muslim yg diam tp protes erdogan ubah status haghia sophia jd mesjid dsr kaum licik munafuck,h
152,orang sibuk main tik tok aplikasi yg lupa palestina hapus google maps,h
153,savepalestine google maps palestina udah hapus but you can delete history of muslim in palestine palestine hati muslim,h
154,model seragam asn khilafah,h
155,asn pecat hormat bos tjahjo kumolo konpres trus,h
156,mesti kalo ga atur ya selesai jgn biar benih benih pecah cegah yg sedia asn tahan yng ngeyel2 gitu tito kemendagri piye iki,h
157,nyata kadal terima asn bentuk seragam dinas langgar atur sesuai selera pimpin gubris budaya kadrun susup asn,h
158,wow nyata pasta gigi deteksi hamil lho,h
159,orang dukung fanatik jokowi tinggal dunia jalan 15 km kontra desa giriroto tuju kantor lurah konfirmasi alm protes catat sbg warga miskin tdk dana blt,h
160,kah percaya ngalihin isu kadang pakai anjing kadang pakai tikus kadang pakai kucing garong kadang pakai ayam2an bin bantah undang hana hanifah goyang tiktok https co ihslhrgyc3 rezimlippoprokomunis,h
161,emg logo gitu jual bebas ya bs pasang sembarang logo institusi negara gk bs pasang sembarang klo jual bebas beli dmn ya pasang pintu rumah we biar kliatan keren,h
162,jual product ragu masuk instansi perintah nech jual kerang sdh bebas masuk bin,h
163,usut usut klub tembak velox et exactus shooting klub kerja bin juara tembak international practical shooting confederation ipsc level ii nggak heran logo bin klub,f
164,surat kabar pesindo organisasi pki semboyan kerjakerjakerja eh bekerdja bekerdja bekerdja 1953 pki islam agen agama arab islamophobia lawanpki,h
165,taon 1953 pki islam agen agama arab surat kabar pesindo organ pki semboyan bekerdja bekerdja kerja semuah terjadih inih rezim inih,h
166,gua vs si tito karnavian bangsat china komunis antek aseng dll,h
167,hmm krn polri sdh milik cukong gerak nih catat sejarah negeri polisi kacung komunis china era tito karnavian,h
168,gatot lirik jokowi isi kabinet 2019 kemarin jokowi tarik tito karnavian mendagri kerih sosok kelas gn pok shanghai lbp yg mitra komunis china taipan,h
169,komunis tito karnavian layak ampun,h
170,jokowi presiden kelam dlm sejarah bangsa indonesia jim rohn motivator dunia bunyi narasi gambar unggah akun finbatantiarifin facebook,h
171,isu komunis yg brulah kadrun abal2 knpa pa jokowi dg perintah dg dpr ri yg slah bubar ma pa 212 dg fpi ormas islam bkin demo brjlid2 dinkri atur perintah org brdagang aja diobrak abrik dagang jdi pngacau nkri krjanya knpagkdibubarkancoba,h
172,bubar fpi antek hti penjara p212 wajah kadrun presiden bikin rusuh negara,h
173,kb tingkat risiko kista ovarium kb hormonal kb suntik turun risiko kista ovarium please informasi medis dokter ya facebook,f
174,rem yaaaaa sangka hamil nyata kista efek pil suntik kb haid atur,h
175,mmg tdk menstruasi tp kalo bikin kista ga,f
176,ahoker aja ga percaya oposisi jurus pepet nadi bungkus krg,h
177,tvonenews menujuistana rois aam dah banget tuh agama moral knp dioengaruhi buni yani yah iku jerumus ahok penjara buni yani sesal krn suruh dg niat jahat,h
178,ahok jatuh coba buni yani yg kbrnya sali perbuatanya mendzolimi ahok,h
179,skrng buni yani sesal tp sesal telat krn tdk yg tolong sblm nya knp tdk pikir akibat,h
180,buni yani telantar orang yg suruh edit video mohon maaf kpd masyarakat perilaku yg salah ahok sel 2 sulit maaf buni yani,h
181,doa assyeikh suda imam masjidil haram makkah al mukarromah hadap musibah virus corona landa umat mari aamiin doa,h
182,doa assyeikh suda imam masjidil haram makkah hadap musibah virus corona landa umat inshaallah lindung allah swt mari aamiin doa,h
183,mari aamiinkan doa assyeikh imam masjidil haram makkah hadap musibah corona yg timpa umat,h
184,mobil ri 2 milik wakil presiden ma ruf amin habis bensin isi bahan bakar minyak bbm ecer pinggir jalan sukabumi jawa barat rabu 8 7 tp mobil cadang wapres wapres gimana tuh sopir,h
185,kait edar video mobil vvip ri 2 isi bensin dr jeriken pinggir jalan sbb 1 isi bbm jeriken laku krn tdk spbu yg milik bahan bakar minyak bbm sesuai kriteria mobil vvip mobil habis bbm,f
186,innalillahi wainnailaihi rojiun didik agama islam bahasa arab hapus dr kurikulum sekolah madrasah menteri agama impor dr china moga rezim laknat,h
187,muncul surat edar kemenag poin ajar pai didik agama islam madrasah hapus screenshot dijadiin status whatsapp 1 orang imbuh caption negara bener bener tanda kiamat dsb,f
188,kl mmg perintah utk tiada ajar didik agama islam bahasa arab madrasah ibtidaiyah tsanawiyah aliyah aja bubar sekolah indonesia menteri agama ngga sih,h
189,hadeh madrasah ngga didik agama islam bahasa arab beda kurikulum,h
190,jaga kejut terima madrasah pai bahasa arab tiada colong hip dll,h
191,tugas satpol pp kota makassar pakai sepeda merk brompton explore inggris jual kisar harga sentuh angka rp 100 juta arti sejahtera tugas satpol pp makassar,h
192,gak kalo butuh patwal aja pake motor harley bmw gak sesuai butuh pake motor bebek,h
193,negara resesi negara ngga kasih bansos suruh new normal satpol pp pake sepeda brompton 100jutaan orang only in negara 62 prioritas gaje,h
194,satpol pp makassar pakai brompton,h
195,bu risma tetiba nang sujud idi surabaya gejala depresi cemas cemas dibully psikologis neurologis hormon bu risma jalan jalan kota utk rekreasi,h
196,wkwkw kalo baca berita baik2 sujud risma tuh krn ngaku gagal sujud mohon idi biar gunain rs soepomoe anak amer udah rangkap jd buzzer anti risma gimana,h
197,bingung baca berita coba lurus virus moga sasar lapor pasien cina yg didiagnosa severe fever with thrombocytopenia syndrome sfts yg sfts virus sftsv 1 3,f
198,virus sfts virus cina isolasi patogen virus 2011 masuk kategori virus bunya ahli virologi percaya virus tular manusia kutu virus tular manusia,f
199,sempat2nya nyebarin info rokok usir corona polusi udara hirup rentan orang infeksi virus gw kasih info musti teliti tembakau zat sesquiterpene potensial lawan,f
200,sbb bahaya rokok tulis mudah serang virus tangkap virus ajarkobloksik,h
201,cinta mata turun hati mmg iya skrg tatap tatap nak virus corona lho yah dahsyat virus corona tular mata guess jaga pandang mata,h
202,8 yg suka lirik cewek cowok keren tatap mata jalan dlm kereta bus ngga kuatir corona tular tatap mata semangatindonesia,f
203,catat yaa do sungguh corona tular tatap mata besok udah tatap an mata yaa sekian pacar,f
204,salah hoax coronaindonesia sebar virus corona mati suhu 26 27 derajat jemur matahari kilas ga risiko nyata temu kabar unik,f
205,ahli virologi virus mati hembus uap air bayclin cuka asap bakar tembakau ruang tutup hembus uap air bayclin 4 1 mati ac shg suhu ruang lbh 26 derajat celcius mk virus mati masuk corona desa2 asap bakar tembakau,h
206,kawan kawan bekas kota hindar pusat ramai ya inisiatif pribadi masyarakat rentan teliti spesifik virus corona mati suhu 26 27 derajat celsius,h
207,perintah gak sengaja pakai dana calon jemaah haji si mbah gak sengaja gak dosa tua bangka sarap,h
208,perintah jokowi kena amnesia wapres perintah sengaja pakai dana haji,h
209,hoax jokowi pakai rp38 5 triliun dana haji kepala bp bpkh anggito abimanyu nyata dana jemaah haji kelola profesional syariah likuid,f
210,pakai kuat rupiah haji taun klau ambil butuh proses kisar 2minguan lbh bgtu dana haji ttp aman gk lembaga perintah yg kait kompeten elo dana tsb no prob,f
211,arti haji tunda saudi tp perintah indo manfaatin moment covid pakai dana haji,h
212,viral penyalahgunaan tisu basah ganti masker moga hapus ya gantung posting cc waktuin detikcom,f
213,laku yg saran video ingredients ga compatible masker hirup it hazardous for inhalation antiseptic wipes masker delete your video now,f
214,tahan ikut2an sebar informasi yg ujung misinformasi disinformasi contoh tisu basah ganti masker dll sangking terbukanyaa informasi internet bnyak informasi ujung hoax jngn ikut2an sebar panik ya,f
215,tisu basah alternatif masker darurat,h
216,tenang tisu basah masker ko mba,h
217,wag temu mayat skolah smp 6 cirebon perempuan siswi smpn 6 kls 7 yg korban polisi korban ambil ginjal kubur si bunuh,h
218,hoax smpn 6 kota tasikmalaya organ tubuh utuh gk organ tubuh yg hilang,f
219,partikel emas tembus kulit masuk buluh darah yg prosentase sakit,h
220,partikel emas hias tembus kulit bayi sih istilah migrasi emas peristiwa partikel emas kulit bayi timbul mual sakit,h
221,bocor data tokopedia kabar buruk data sebar unduh gratis,f
222,bocor data tokopedia mei kemarin skrg 1 aman data tokopedia payah kuat paska bocor mei 2 rezim lindung data pribadi yg kuat indonesia,f
223,sebenernya agama ortodok agama agama yg tiru agama islam,f
224,keri agama tiru islam baca lihat video,h
225,tl yg bilang kristen ortodox syria agama yg tiru islam duh coba baca sejarah lihat bego,f
226,takut tengok video agama yg tiru islam ya allah agama kristian ortodok dr syria,h
227,pantesaaaan kota tembilahan kmrin slalu puanaaaaaas nyata lgi mo badai equinox,h
228,bantah isu badai panas fenomena equinox bmkg suhu indonesia normal,f
229,bmkg isu badai panas equinox hoa,f
230,badai equinox broadcast wag panas banget si engga keringetan mulu sih,h
231,gin percaya hoaks vaksin autis hellowww aja sih 2015 kemenkes klarifikasi bhw thimerosal vaksin hubung dg timbul autisme,f
232,vaksin mmr autisme bukti tanda2 autis lihat usia 2 3 th jadwal anak sunti mmr vaksin kait jd kambing hitam autisme,f
233,inti vaksin autis anak ya hehe,f
234,copas dr tetangga assalamualaikum wr wb utk vaksin autis,h
235,guru impor hellowww sarjana didik msh yg nganggur btw pleasee jgn impor,h
236,salahin jan ethes pakek barang impor pakai barang impor nge tweet pakek hp impor serba impor bawang gula garam beras guru impor wacana do impor president janethessukabarangimpor,h
237,impor arti guru masif negeri ajar indonesia latih instruktur negeri latih guru guru indonesia khusus jenjang smk balai latih kerja blk,f
238,khusus guru smk produktif instruktur negeri lemah dasar guru produktif kompetensi teknis latih mengases kompetensi,f
239,guru negeri percaya guru negeri kemenristekdikti rencana rektor asing,h
240,beras gula garam komoditi asli indonesia impor pyan maharani impor guru asing guruguru expor ya perintah lsm abalabal,h
241,tanda2 hegemoni riba hancur kemarin bukopin gagal bayar deposito nasabah blm bca berita ga kalah ngeri phk bca teller cs hilang indonesia,h
242,sanggah 1 hoax tes sederhana kenal virus corona puluh detik,f
243,tes sederhana kenal virus corona puluh detik urus dokter laboratorium,h
244,tes sederhana kenal corona puluh detik dark dokter jepang ambil napas tahan napas 10 detik hasil napas batuk nyaman lelah kaku dada bukti fibrosis paru paru ygmenunjukkan virus,h
245,prof masjid tolikara papua bakar bakar undang jamu istana laku tdk stigma sbg laku yg radikal tp korelasi dgn umat islam aktivis dakwah sifat arab spt beda,h
246,masjid bakar papua laku undang istana pas musibah papua partai yg kerja yap partai islam gak nge jil kalo mo jd rahmat lil alamin mo konser 18m pake alas bangsa,h
247,politis partai solidaritas indonesia dedek prayudi uki hati hati sikap edar hoaks kait masjid bakar papua,f
248,baca yg mas diskusi serap informasi info nih tolikara papua masjid bakar krn provokasi petinggi organisasi yg taung warga yg provokasi bakar masjid yg undang istana urus masjid yg bakar,h
249,29 januari 2019 bakar masjid agung belopa luwu lurah senga camat belopa kabupaten luwu sulawesi selatan bakar 10 55 wita kerja laku renovasi plafon masjid stop hoaks provokasi,f
250,ya sahabat hati2 minum air mineral yg kandung besi yg aman 4 1 afidis 2 cleo 3 equil 4 fiji wallahu lam,h
251,ma af industri amdk yg udah bersetifikat sni bpom atur kandung fisika kimia biologi katagori air mineral elektrolisasi gumpal kotor air deminerql sulit gumpal kotor unsur mineral hilang,f
252,air mineral nyata kandung besi,h
253,oh video yg viral grup wa keluarga gue fyi nama air mineral mineral tubuh butuh mineral ganti ion ion tubuh hilang beraktifitas coba pake spektrofotometri biar tau masing2 kadar mineral jgn kyk gin,f
254,matahari kembar batas as kanada bumi ubah poros fenomena lunar hunter matahari terbit pd yg pantul sinar mentari dg kuat,h
255,matahari muncul batas amerika serikat kanada matahari asli fenomena lunar hunter bumi ubah poros matahari lahir,h
256,subhanalloh indah cipta nya fenomena lunar hunter bumi ubah poros matahari lahir pantul sinar matahari intensitas kuat,h
257,simak video kisah orang remaja kena tiktok syndrome main tiktok senang senang aneh kontrol tubuh,h
258,kemaren sempet viral ya remaja tiktok syndrome fyi komedi ngga beneran syndrome ya,f
259,tka china terima sogo pecat kapten ruslan buton akal sehat dasar penghianat bangsatbangsa bukti kuasa hukum ruslan angkat bicara pecat tni tolak tka china masuk malu,h
260,arti brita tni antek china malu tuk bangun pltu hmpir resap tka china plhn rb loh,h
261,klaim yg ruslan buton pecat tni krn tolak tka china masuk malu nyata,f
262,lo tuh ikan bal mati pinggir pantai bnpb indonesia,h
263,ayo berhati2 teiliti unggah medsos lumayan platnya plat indonesia bahasa bahasa indonesia,f
